判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
1773,21.2,6.51,27.35,2.84,1,1773
2707,33.93,10.4,31.2,4.36,1,2707
2433,12.49,3.9,30.21,7.38,1,2433
6230,14.7,6.78,20.01,2.84,1,6230
2520,13.23,3.52,27.2,5.86,1,2520
2059,14.48,15.7,52.96,1.76,1,2059
8150,14.26,3.74,20.85,5.72,1,8150
4148,10.05,3.0,26.79,2.34,1,4148
2049,12.51,10.13,34.45,1.92,1,2049
4137,26.61,13.99,83.16,6.68,1,4137
6464,11.99,6.57,48.2,5.07,1,6464
6183,14.55,2.12,40.72,2.55,1,6183
3022,11.5,3.81,33.82,2.1,1,3022
4968,22.95,5.55,33.42,1.81,1,4968
3450,14.13,3.12,24.49,4.62,1,3450
5007,14.77,3.16,22.8,4.94,1,5007
6214,10.48,5.6,24.96,6.97,1,6214
1101,11.0,3.69,26.64,5.87,1,1101
9939,11.22,5.04,20.14,4.05,1,9939
3653,11.97,6.08,28.25,1.17,1,3653
1558,14.84,11.51,24.88,7.23,1,1558
3130,19.94,9.14,89.83,4.66,1,3130
2481,10.05,2.27,24.15,2.06,1,2481
2337,22.32,3.82,35.49,3.97,1,2337
4571,18.47,5.73,33.2,3.01,1,4571
2614,16.47,1.68,28.14,3.86,1,2614
2397,14.27,4.67,26.89,7.42,1,2397
2454,12.96,28.02,41.38,4.48,1,2454
6670,37.83,14.36,23.89,4.78,1,6670
9926,12.46,2.14,24.86,3.29,1,9926
3563,41.34,18.97,64.62,4.79,1,3563
6754,13.78,3.61,23.16,5.12,1,6754
2441,16.45,4.94,27.33,5.59,1,2441
1702,15.7,4.03,33.25,5.07,1,1702
3006,18.33,5.8,21.41,4.15,1,3006
1231,16.23,3.31,21.73,2.16,1,1231
6409,41.13,23.79,27.73,1.35,1,6409
6706,25.21,8.2,34.72,4.05,1,6706
1227,17.48,3.13,28.16,5.65,1,1227
1560,14.61,4.47,30.69,2.12,1,1560
4551,18.39,7.74,28.62,2.4,1,4551
5222,19.77,3.06,50.71,1.18,1,5222
2474,12.73,23.65,33.87,6.65,1,2474
3005,16.25,4.5,27.55,6.65,1,3005
6202,27.23,5.29,49.21,7.17,1,6202
6438,17.58,5.54,28.33,4.17,1,6438
3045,19.54,4.53,25.92,4.95,1,3045
9911,18.73,3.94,35.17,4.7,1,9911
6257,13.89,3.9,28.85,5.42,1,6257
9910,32.01,6.72,23.65,2.74,1,9910
1723,16.35,4.98,23.25,3.77,1,1723
9940,17.08,2.67,30.47,6.13,1,9940
1526,16.22,2.82,25.68,2.47,1,1526
2539,13.68,1.92,29.76,1.95,1,2539
8462,19.22,4.92,27.65,3.37,1,8462
2308,14.87,8.62,28.26,1.94,1,2308
5234,23.34,6.11,33.89,7.16,1,5234
2327,33.2,37.27,42.28,5.55,1,2327
1707,26.61,9.48,81.57,4.4,1,1707
8464,32.4,14.91,50.86,3.64,1,8464
4999,10.17,4.49,31.22,7.15,1,4999
2420,15.79,3.24,37.65,6.38,1,2420
6641,18.74,6.26,39.17,6.05,1,6641
4190,18.87,5.92,74.73,4.44,1,4190
1582,13.49,5.75,22.93,7.87,1,1582
4764,12.14,3.59,20.97,3.64,1,4764
5534,18.12,9.84,37.91,7.63,1,5534
8081,19.36,11.13,36.82,6.12,1,8081
5283,25.36,11.6,38.36,3.8,1,5283
2505,13.8,2.08,28.14,2.97,1,2505
1527,14.53,3.88,26.9,5.46,1,1527
2108,28.01,5.98,33.14,7.85,1,2108
2408,17.74,8.06,40.15,6.69,1,2408
2548,14.37,8.59,29.98,6.96,1,2548
6743,14.26,2.45,21.84,2.58,1,6743
4572,11.07,4.43,41.66,3.26,1,4572
8480,19.6,8.12,32.33,5.87,1,8480
2451,10.31,4.74,24.01,7.58,1,2451
4807,13.13,2.14,23.84,11.33,1,4807
4552,10.68,5.1,21.43,7.45,1,4552
4919,15.23,3.67,39.43,2.03,1,4919
2231,19.07,6.75,46.26,2.95,1,2231
5871,21.61,11.46,66.09,2.44,1,5871
1720,11.69,2.62,44.32,3.67,1,1720
6449,11.37,2.63,26.24,3.87,1,6449
6414,12.11,13.7,22.36,3.14,1,6414
1476,24.1,15.41,28.06,2.32,1,1476
3533,18.48,21.46,36.27,1.44,1,3533
6415,19.59,33.01,48.65,2.03,1,6415
4912,18.64,7.95,21.31,1.77,1,4912
6715,20.58,3.49,25.3,0.84,1,6715
6224,16.79,4.82,46.22,6.6,1,6224
3413,25.3,13.49,24.53,3.22,1,3413
5471,19.23,4.06,42.11,6.43,1,5471
1598,11.06,3.36,32.34,5.74,1,1598
6592,14.49,5.11,63.98,3.16,1,6592
3030,17.92,4.13,54.48,5.3,1,3030
2492,28.7,17.93,36.4,8.32,1,2492
5269,33.72,25.93,49.46,1.91,1,5269
3040,17.21,4.41,60.89,13.33,1,3040
9921,16.45,10.22,21.9,2.69,1,9921
3092,14.6,3.24,23.93,6.62,1,3092
2493,12.54,2.57,28.17,5.82,1,2493
6655,13.76,4.09,53.2,3.62,1,6655
2436,11.42,1.98,26.18,3.24,1,2436
6277,24.11,8.64,59.09,4.11,1,6277
2373,19.07,6.43,44.02,7.23,1,2373
6192,14.9,6.61,31.21,4.89,1,6192
2915,28.83,16.51,48.49,7.83,1,2915
9945,17.81,7.47,22.38,2.65,1,9945
6201,10.67,2.93,20.1,6.66,1,6201
8404,11.55,1.9,36.63,2.92,1,8404
3530,16.59,4.09,25.42,2.96,1,3530
6525,20.71,5.92,31.56,5.29,1,6525
2904,11.82,1.68,41.99,7.2,1,2904
2477,14.55,2.75,21.4,6.41,1,2477
2449,11.56,2.61,28.15,5.53,1,2449
6531,15.8,4.89,25.81,1.62,1,6531
2228,10.85,5.4,25.65,4.9,1,2228
1730,18.9,4.62,44.15,5.75,1,1730
9941,17.38,9.73,48.01,3.35,1,9941
8104,17.64,4.31,21.27,4.64,1,8104
2233,14.97,7.08,35.72,3.74,1,2233
3532,11.96,4.96,27.69,2.22,1,3532
5519,11.31,2.17,20.64,5.96,1,5519
1817,13.58,3.13,32.32,5.75,1,1817
6581,20.35,5.41,51.75,4.21,1,6581
3014,18.03,5.19,51.95,7.14,1,3014
8499,24.11,9.93,49.13,5.72,1,8499
2912,33.5,13.63,33.89,4.3,1,2912
1904,12.44,2.74,22.08,4.96,1,1904
6756,23.7,5.31,50.18,1.79,1,6756
2603,31.68,10.54,20.59,5.4,1,2603
4977,15.54,5.12,24.32,3.42,1,4977
9917,20.86,5.13,36.18,4.33,1,9917
1537,22.77,10.74,22.37,6.6,1,1537
2702,18.21,3.22,77.36,1.29,1,2702
